Flight Date,Carrier,Flight Number,Origin,Origin City,Origin State,Origin WAC,Destination,Destination City,Destination State,Destination WAC,CRS_DEP_TIME,Departure Time,CRS_ARR_TIME,Arrival Time,Cancelled,Diverted,Distance
1/1/2022 12:00:00 AM,DL,1721,MSP,"Minneapolis, MN",MN,63,MSY,"New Orleans, LA",LA,72,1015,1011,1259,1321,0.00,0.00,1039.00
1/1/2022 12:00:00 AM,DL,1721,MSY,"New Orleans, LA",LA,72,MSP,"Minneapolis, MN",MN,63,1410,1421,1654,1701,0.00,0.00,1039.00
1/1/2022 12:00:00 AM,DL,1724,MCI,"Kansas City, MO",MO,64,ATL,"Atlanta, GA",GA,34,0545,0546,0846,0923,0.00,0.00,692.00
1/1/2022 12:00:00 AM,DL,1726,ATL,"Atlanta, GA",GA,34,CLT,"Charlotte, NC",NC,36,2250,2310,2352,0011,0.00,0.00,226.00
1/1/2022 12:00:00 AM,DL,1727,ATL,"Atlanta, GA",GA,34,PVD,"Providence, RI",RI,15,2120,2116,2339,2317,0.00,0.00,903.00
1/1/2022 12:00:00 AM,DL,1728,STT,"Charlotte Amalie, VI",VI,4,BOS,"Boston, MA",MA,13,1420,1457,1745,1818,0.00,0.00,1693.00
1/1/2022 12:00:00 AM,DL,1730,MSP,"Minneapolis, MN",MN,63,FAR,"Fargo, ND",ND,66,2135,2200,2240,2257,0.00,0.00,223.00
1/1/2022 12:00:00 AM,DL,1732,CHS,"Charleston, SC",SC,37,ATL,"Atlanta, GA",GA,34,0600,0559,0711,0709,0.00,0.00,259.00
1/1/2022 12:00:00 AM,DL,1733,LAS,"Las Vegas, NV",NV,85,LAX,"Los Angeles, CA",CA,91,0605,0600,0715,0703,0.00,0.00,236.00
1/1/2022 12:00:00 AM,DL,1734,LAX,"Los Angeles, CA",CA,91,DTW,"Detroit, MI",MI,43,0540,0627,1305,1339,0.00,0.00,1979.00
1/1/2022 12:00:00 AM,DL,1735,MSY,"New Orleans, LA",LA,72,ATL,"Atlanta, GA",GA,34,0630,0627,0905,0848,0.00,0.00,425.00
1/1/2022 12:00:00 AM,DL,1736,ATL,"Atlanta, GA",GA,34,GRR,"Grand Rapids, MI",MI,43,1420,1431,1608,1609,0.00,0.00,640.00
1/1/2022 12:00:00 AM,DL,1736,GRR,"Grand Rapids, MI",MI,43,ATL,"Atlanta, GA",GA,34,1710,1712,1916,1950,0.00,0.00,640.00
1/1/2022 12:00:00 AM,DL,1738,DTW,"Detroit, MI",MI,43,FLL,"Fort Lauderdale, FL",FL,33,1030,1028,1338,1323,0.00,0.00,1127.00
1/1/2022 12:00:00 AM,DL,1739,ATL,"Atlanta, GA",GA,34,BNA,"Nashville, TN",TN,54,2259,2301,2303,2310,0.00,0.00,214.00
1/1/2022 12:00:00 AM,DL,1740,DCA,"Washington, DC",VA,38,MSP,"Minneapolis, MN",MN,63,0616,0615,0802,0815,0.00,0.00,931.00
1/1/2022 12:00:00 AM,DL,1746,DTW,"Detroit, MI",MI,43,MCO,"Orlando, FL",FL,33,1540,1621,1823,1900,0.00,0.00,957.00
1/1/2022 12:00:00 AM,DL,1747,CHS,"Charleston, SC",SC,37,ATL,"Atlanta, GA",GA,34,1030,1029,1145,1139,0.00,0.00,259.00
1/1/2022 12:00:00 AM,DL,1748,AUS,"Austin, TX",TX,74,DTW,"Detroit, MI",MI,43,0740,0740,1129,1106,0.00,0.00,1149.00
1/1/2022 12:00:00 AM,DL,1749,TPA,"Tampa, FL",FL,33,LGA,"New York, NY",NY,22,1525,1553,1807,1830,0.00,0.00,1010.00
1/1/2022 12:00:00 AM,DL,1763,SJU,"San Juan, PR",PR,3,ATL,"Atlanta, GA",GA,34,0745,0739,1042,1020,0.00,0.00,1547.00
1/1/2022 12:00:00 AM,DL,1809,ATL,"Atlanta, GA",GA,34,STX,"Christiansted, VI",VI,4,1012,1012,1445,1446,0.00,0.00,1638.00
1/1/2022 12:00:00 AM,DL,1809,STX,"Christiansted, VI",VI,4,ATL,"Atlanta, GA",GA,34,1550,1549,1910,1836,0.00,0.00,1638.00
1/1/2022 12:00:00 AM,DL,1850,STT,"Charlotte Amalie, VI",VI,4,ATL,"Atlanta, GA",GA,34,1535,1541,1840,1834,0.00,0.00,1599.00
1/1/2022 12:00:00 AM,DL,1851,JFK,"New York, NY",NY,22,SJU,"San Juan, PR",PR,3,1430,1426,1916,1842,0.00,0.00,1598.00
1/1/2022 12:00:00 AM,DL,1851,SJU,"San Juan, PR",PR,3,JFK,"New York, NY",NY,22,2030,2022,2335,2317,0.00,0.00,1598.00
1/1/2022 12:00:00 AM,DL,1853,SJU,"San Juan, PR",PR,3,JFK,"New York, NY",NY,22,1750,1747,2056,2047,0.00,0.00,1598.00
1/1/2022 12:00:00 AM,DL,1854,SJU,"San Juan, PR",PR,3,JFK,"New York, NY",NY,22,0800,0755,1059,1100,0.00,0.00,1598.00
1/1/2022 12:00:00 AM,DL,1859,JFK,"New York, NY",NY,22,SJU,"San Juan, PR",PR,3,1830,1836,2327,2300,0.00,0.00,1598.00
1/1/2022 12:00:00 AM,DL,1861,ATL,"Atlanta, GA",GA,34,SJU,"San Juan, PR",PR,3,1830,1840,2255,2257,0.00,0.00,1547.00
1/1/2022 12:00:00 AM,DL,1864,STT,"Charlotte Amalie, VI",VI,4,ATL,"Atlanta, GA",GA,34,1405,1435,1708,1722,0.00,0.00,1599.00
1/1/2022 12:00:00 AM,DL,1925,STT,"Charlotte Amalie, VI",VI,4,ATL,"Atlanta, GA",GA,34,1655,1655,2000,1952,0.00,0.00,1599.00
1/1/2022 12:00:00 AM,DL,1950,ATL,"Atlanta, GA",GA,34,STT,"Charlotte Amalie, VI",VI,4,0950,0945,1425,1443,0.00,0.00,1599.00
1/1/2022 12:00:00 AM,DL,1981,ATL,"Atlanta, GA",GA,34,STT,"Charlotte Amalie, VI",VI,4,1234,1232,1704,1707,0.00,0.00,1599.00
1/1/2022 12:00:00 AM,DL,2050,FLL,"Fort Lauderdale, FL",FL,33,DTW,"Detroit, MI",MI,43,0730,0727,1028,1016,0.00,0.00,1127.00
1/1/2022 12:00:00 AM,DL,2051,OAK,"Oakland, CA",CA,91,SLC,"Salt Lake City, UT",UT,87,1325,1321,1613,1600,0.00,0.00,588.00
1/1/2022 12:00:00 AM,DL,2051,SLC,"Salt Lake City, UT",UT,87,OAK,"Oakland, CA",CA,91,1128,1136,1230,1213,0.00,0.00,588.00
1/1/2022 12:00:00 AM,DL,2052,SEA,"Seattle, WA",WA,93,SFO,"San Francisco, CA",CA,91,1930,1945,2150,2140,0.00,0.00,679.00
1/1/2022 12:00:00 AM,DL,2054,AUS,"Austin, TX",TX,74,SLC,"Salt Lake City, UT",UT,87,1640,1634,1836,1827,0.00,0.00,1086.00
1/1/2022 12:00:00 AM,DL,2055,ATL,"Atlanta, GA",GA,34,MSY,"New Orleans, LA",LA,72,1211,1211,1244,1236,0.00,0.00,425.00
1/1/2022 12:00:00 AM,DL,2055,MSY,"New Orleans, LA",LA,72,ATL,"Atlanta, GA",GA,34,1355,1353,1619,1605,0.00,0.00,425.00
1/1/2022 12:00:00 AM,DL,2058,MCO,"Orlando, FL",FL,33,RDU,"Raleigh/Durham, NC",NC,36,1029,1339,1209,1510,0.00,0.00,534.00
1/1/2022 12:00:00 AM,DL,2058,RDU,"Raleigh/Durham, NC",NC,36,MCO,"Orlando, FL",FL,33,0746,1102,0929,1245,0.00,0.00,534.00
1/1/2022 12:00:00 AM,DL,2060,EWR,"Newark, NJ",NJ,21,ATL,"Atlanta, GA",GA,34,0600,0600,0833,0813,0.00,0.00,746.00
1/1/2022 12:00:00 AM,DL,2061,DEN,"Denver, CO",CO,82,SEA,"Seattle, WA",WA,93,0610,0637,0826,0842,0.00,0.00,1024.00
1/1/2022 12:00:00 AM,DL,2062,ALB,"Albany, NY",NY,22,ATL,"Atlanta, GA",GA,34,1400,1352,1641,1620,0.00,0.00,853.00
1/1/2022 12:00:00 AM,DL,2062,ATL,"Atlanta, GA",GA,34,ALB,"Albany, NY",NY,22,1010,1009,1213,1218,0.00,0.00,853.00
1/1/2022 12:00:00 AM,DL,2063,DTW,"Detroit, MI",MI,43,TPA,"Tampa, FL",FL,33,1650,1808,1939,2057,0.00,0.00,983.00
1/1/2022 12:00:00 AM,DL,2065,SEA,"Seattle, WA",WA,93,DEN,"Denver, CO",CO,82,1740,1740,2123,2129,0.00,0.00,1024.00
1/1/2022 12:00:00 AM,DL,2068,OKC,"Oklahoma City, OK",OK,73,ATL,"Atlanta, GA",GA,34,0600,0609,0903,0902,0.00,0.00,761.00
1/1/2022 12:00:00 AM,DL,2070,MSP,"Minneapolis, MN",MN,63,AUS,"Austin, TX",TX,74,1145,1147,1433,1444,0.00,0.00,1042.00
1/1/2022 12:00:00 AM,DL,2071,ATL,"Atlanta, GA",GA,34,SJC,"San Jose, CA",CA,91,0940,0938,1200,1143,0.00,0.00,2116.00
1/1/2022 12:00:00 AM,DL,2072,LGA,"New York, NY",NY,22,TPA,"Tampa, FL",FL,33,0705,0656,1009,0944,0.00,0.00,1010.00
1/1/2022 12:00:00 AM,DL,2073,LIT,"Little Rock, AR",AR,71,ATL,"Atlanta, GA",GA,34,0627,0621,0859,0852,0.00,0.00,453.00
1/1/2022 12:00:00 AM,DL,2076,PHX,"Phoenix, AZ",AZ,81,SEA,"Seattle, WA",WA,93,1559,,1819,,1.00,0.00,1107.00
1/1/2022 12:00:00 AM,DL,2076,SEA,"Seattle, WA",WA,93,PHX,"Phoenix, AZ",AZ,81,1115,,1501,,1.00,0.00,1107.00
